movieInfo,quote,title,star,quo_num
导演:Jean-PierreJeunet主演:奥黛丽·塔图AudreyTautou/马修·卡索...;2001/法国德国/喜剧爱情;;,法式小清新。 ,天使爱美丽,8.7,411098人评价
导演:张艺谋YimouZhang主演:葛优YouGe/巩俐LiGong/姜武WuJiang;1994/中国大陆香港/剧情家庭;;,张艺谋最好的电影。,活着,9.0,202027人评价
导演:朗·霍华德RonHoward主演:罗素·克劳RussellCrowe/詹妮弗·...;2001/美国/传记剧情;;,爱是一切逻辑和原由。,美丽心灵,8.9,253134人评价
导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...;2001/新西兰美国/剧情动作奇幻冒险;;,传说的开始。,指环王1：魔戒再现,8.9,254080人评价
导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...;2002/美国新西兰/剧情动作奇幻冒险;;,承前启后的史诗篇章。,指环王2：双塔奇兵,8.9,228330人评价
导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...;1974/美国/剧情犯罪;;,优雅的孤独。,教父2,9.1,150695人评价
导演:宫崎骏HayaoMiyazaki主演:倍赏千惠子ChiekoBaishô/木村拓...;2004/日本/爱情动画奇幻冒险;;,带着心爱的人在天空飞翔。,哈尔的移动城堡,8.8,278535人评价
导演:大卫·芬奇DavidFincher主演:摩根·弗里曼MorganFreeman/布...;1995/美国/剧情犯罪悬疑惊悚;;,警察抓小偷，老鼠玩死猫。,七宗罪,8.7,369375人评价
导演:岩井俊二ShunjiIwai主演:中山美穗MihoNakayama/酒井美纪Mik...;1995/日本/剧情爱情;;,暗恋的极致。,情书,8.8,298250人评价
导演:梅尔·吉布森MelGibson主演:梅尔·吉布森MelGibson/苏菲·玛...;1995/美国/动作传记剧情历史战争;;,史诗大片的典范。,勇敢的心,8.8,253628人评价
导演:TimBurton主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...;1990/美国/剧情奇幻爱情;;,浪漫忧郁的成人童话。,剪刀手爱德华,8.7,408442人评价
导演:彼得·威尔PeterWeir主演:罗宾·威廉姆斯RobinWilliams/罗伯...;1989/美国/剧情;;,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,死亡诗社,8.9,220594人评价
导演:SergioLeone主演:罗伯特·德尼罗RobertDeNiro/詹姆斯·伍兹...;1984/意大利美国/犯罪剧情;;,往事如烟，无处祭奠。,美国往事,9.1,140488人评价
